"listing_id","listing_date","listing_type","property_type","tenure","bedroom_count","location","asking_price","revision_date","active_days","is_5percent_reduced"
14048754,2021-07-01,"buy","flat","leasehold",1,"Uxbridge",235000,2021-08-17,33,"yes"
14053626,2021-07-01,"buy","house","freehold",2,"Dartford",225000,2021-08-12,0,"no"
14067624,2021-06-24,"buy","house","unknown",4,"Uxbridge",8e+05,2021-07-02,0,"no"
14068508,2021-07-02,"buy","flat","leasehold",1,"Richmond",470000,2021-07-09,0,"no"
14080858,2021-07-02,"buy","house","freehold",4,"Cardiff",3e+05,2022-01-21,0,"no"
14114695,2021-07-07,"buy","house","freehold",4,"Stoke On Trent",330000,2021-09-20,0,"no"
14105969,2021-07-05,"buy","house","freehold",2,"Brighton",325000,2021-08-03,0,"no"
14108325,2021-07-06,"buy","flat","leasehold",2,"Brighton",375000,2021-07-28,0,"yes"
14135202,2021-07-09,"buy","house","freehold",2,"Reading",270000,2021-08-05,0,"yes"
14146611,2021-07-08,"buy","house","freehold",3,"Mansfield",210000,2021-08-30,7,"yes"
5918298,2021-06-30,"buy","flat","leasehold",2,"Cardiff",160000,2021-07-28,0,"yes"
13162295,2021-04-07,"buy","house","freehold",5,"Ilford",7e+05,2021-12-09,146,"no"
13174414,2021-04-08,"buy","house","freehold",4,"Surbiton",750000,2021-04-30,0,"yes"
13192068,2021-04-09,"buy","house","freehold",3,"Dartford",375000,2021-05-10,0,"yes"
13202796,2021-04-09,"buy","house","freehold",4,"Stoke On Trent",490000,2021-07-29,48,"yes"
13221539,2021-03-30,"buy","house","freehold",3,"Surbiton",625000,2021-04-13,0,"no"
13230666,2021-04-12,"buy","house","unknown",4,"Bath",4e+05,2021-11-22,60,"yes"
13232703,2021-04-12,"buy","house","freehold",3,"Warrington",190000,2021-05-01,0,"no"
13235132,2021-04-14,"buy","house","freehold",3,"Plymouth",220000,2021-05-14,0,"no"
13254054,2021-04-14,"buy","house","freehold",2,"Exeter",340000,2021-06-21,0,"yes"
13257044,2021-04-13,"buy","flat","leasehold",2,"Sheffield",130000,2021-11-15,0,"no"
13263053,2021-04-16,"buy","flat","leasehold",2,"Plymouth",250000,2021-07-29,0,"no"
13270377,2021-04-16,"buy","flat","leasehold",2,"Reading",475000,2021-05-13,0,"yes"
13280020,2021-04-16,"buy","flat","leasehold",2,"Wolverhampton",145000,2021-07-06,0,"no"
13282817,2021-04-19,"buy","house","freehold",2,"Coventry",220000,2021-07-06,0,"no"
13283315,2021-03-21,"buy","flat","leasehold",2,"Salford",170000,2021-08-25,76,"yes"
15383919,2021-11-25,"buy","house","freehold",5,"Newcastle Upon Tyne",260000,2022-01-31,0,"no"
15386802,2021-11-25,"buy","house","freehold",3,"Chelmsford",375000,2022-01-28,0,"no"
15389080,2021-11-26,"buy","flat","leasehold",2,"Surbiton",395000,2021-12-13,0,"yes"
15415899,2021-11-30,"buy","flat","leasehold",2,"Ilford",290000,2021-11-30,0,"no"
15429699,2021-07-05,"buy","flat","leasehold",2,"Gloucester",165000,2021-08-02,0,"no"
15450944,2021-12-04,"buy","flat","leasehold",2,"Salford",250000,2021-12-16,0,"no"
15453468,2021-12-05,"buy","house","freehold",4,"Ilford",650000,2022-02-16,0,"yes"
15455114,2021-12-06,"buy","house","freehold",3,"Luton",450000,2021-12-28,0,"no"
15477191,2021-12-08,"buy","house","freehold",3,"Wolverhampton",440000,2022-04-14,76,"yes"
15518403,2021-12-15,"buy","house","freehold",3,"Cardiff",270000,2021-12-15,0,"no"
15519762,2021-12-15,"buy","house","freehold",3,"Sheffield",210000,2022-07-19,0,"yes"
6626759,2021-03-12,"buy","flat","leasehold",2,"Reading",230000,2021-05-01,37,"yes"
13124117,2021-03-31,"buy","house","freehold",2,"Coventry",3e+05,2021-05-18,0,"no"
13125718,2021-03-31,"buy","house","freehold",4,"Warrington",340000,2021-08-17,99,"no"
13141325,2021-04-06,"buy","house","freehold",3,"Coventry",275000,2021-05-08,0,"yes"
13142513,2021-04-04,"buy","house","unknown",2,"Chelmsford",485000,2021-04-22,0,"yes"
13150675,2021-04-06,"buy","house","freehold",3,"Leicester",270000,2021-04-27,0,"no"
13156501,2021-04-07,"buy","house","freehold",3,"Salford",250000,2021-11-18,0,"no"
13175302,2021-03-01,"buy","house","freehold",4,"Coventry",370000,2021-05-12,0,"no"
13185583,2021-04-08,"buy","flat","leasehold",2,"Uxbridge",335000,2021-11-26,0,"no"
13187676,2021-04-09,"buy","house","freehold",3,"Sheffield",220000,2021-09-28,158,"yes"
13189206,2021-04-09,"buy","flat","leasehold",2,"Bromley",285000,2021-05-18,0,"no"
13191870,2021-04-07,"buy","house","freehold",3,"Leicester",240000,2021-08-11,54,"no"
13196388,2021-04-09,"buy","flat","leasehold",2,"Leicester",160000,2021-10-15,58,"yes"
13205785,2021-04-10,"buy","house","freehold",4,"Chelmsford",575000,2021-06-28,0,"no"
13210848,2021-04-12,"buy","house","freehold",3,"Sheffield",240000,2021-09-07,0,"no"
13216674,2021-04-12,"buy","house","unknown",2,"Stoke On Trent",195000,2021-05-25,0,"yes"
13219659,2021-04-12,"buy","house","freehold",5,"Newcastle Upon Tyne",612950,2021-08-25,0,"no"
13249444,2021-04-14,"buy","house","freehold",3,"Chelmsford",350000,2021-10-11,0,"no"
13249655,2021-04-14,"buy","house","freehold",3,"Sheffield",3e+05,2021-09-14,0,"no"
13259199,2021-04-15,"buy","house","freehold",4,"Newcastle Upon Tyne",7e+05,2021-12-17,227,"no"
13263057,2021-04-16,"buy","house","freehold",4,"Coventry",320000,2021-05-21,0,"no"
13265749,2021-04-16,"buy","house","freehold",4,"Sheffield",235000,2021-07-19,0,"no"
13275392,2021-04-15,"buy","house","freehold",3,"Hull",120000,2021-12-03,50,"no"
13282108,2021-04-17,"buy","house","unknown",2,"Cheltenham",340000,2021-07-01,14,"no"
13106072,2021-03-30,"buy","house","unknown",2,"Wolverhampton",205000,2021-05-26,0,"no"
13138995,2021-04-04,"buy","house","freehold",5,"Wolverhampton",485000,2021-10-16,121,"yes"
13139577,2021-04-04,"buy","house","freehold",3,"Chelmsford",540000,2021-12-01,0,"no"
13140959,2021-04-04,"buy","house","freehold",3,"Plymouth",250000,2021-04-27,0,"no"
13143491,2021-04-06,"buy","house","freehold",5,"Surbiton",950000,2021-05-04,0,"yes"
13126094,2021-03-31,"buy","house","freehold",4,"Chelmsford",450000,2021-06-02,0,"yes"
13134317,2021-04-02,"buy","flat","leasehold",2,"Brighton",350000,2021-06-04,32,"yes"
13145917,2021-04-06,"buy","house","freehold",3,"Uxbridge",550000,2021-06-01,27,"no"
13153670,2021-04-06,"buy","flat","leasehold",1,"Chelmsford",237500,2021-05-13,0,"no"
13158356,2021-04-07,"buy","house","freehold",3,"Cardiff",160000,2021-10-20,0,"no"
13163688,2021-04-06,"buy","house","freehold",4,"Gloucester",270000,2021-06-10,0,"no"
