"listing_id","listing_date","listing_type","property_type","tenure","bedroom_count","location","asking_price","revision_date","revised_asking_price"
14186633,2021-07-13,"buy","house","freehold",3,"Stoke On Trent",225000,2021-08-17,2e+05
14188267,2021-07-13,"buy","house","freehold",4,"Basildon",7e+05,2021-07-23,650000
14217205,2021-07-15,"buy","house","freehold",5,"Cheltenham",1250000,2021-07-21,1125000
14226432,2021-07-19,"buy","flat","leasehold",1,"Reading",170000,2021-08-26,140000
17191703,2022-06-10,"buy","house","freehold",4,"Cheltenham",475000,2022-07-18,450000
17194581,2022-06-12,"buy","flat","leasehold",1,"Dartford",210000,2022-08-04,2e+05
17210659,2022-06-13,"buy","house","freehold",3,"Uxbridge",7e+05,2022-07-13,675000
17213503,2022-06-14,"buy","house","freehold",3,"Brighton",550000,2022-07-15,5e+05
17214023,2022-06-13,"buy","house","freehold",3,"Hull",160000,2022-07-20,150000
17222051,2022-06-15,"buy","flat","leasehold",1,"Surbiton",365000,2022-07-07,355000
17227523,2022-06-14,"buy","house","freehold",3,"Coventry",250000,2022-08-09,245000
17230012,2022-03-07,"buy","house","freehold",3,"Harrogate",525000,2022-04-25,5e+05
17245869,2022-06-15,"buy","house","freehold",5,"Luton",550000,2022-07-07,525000
17246928,2022-06-17,"buy","house","freehold",4,"Ilford",750000,2022-07-13,7e+05
17261359,2022-06-17,"buy","house","freehold",3,"Leicester",290000,2022-07-18,280000
17262276,2022-02-18,"buy","flat","leasehold",2,"Hull",160000,2022-06-14,140000
3780841,2021-04-14,"buy","flat","leasehold",2,"Newcastle Upon Tyne",235000,2021-04-26,230000
15749250,2022-01-01,"buy","house","freehold",4,"Basildon",5e+05,2022-02-21,490000
15762146,2021-12-08,"buy","house","unknown",3,"Wolverhampton",440000,2022-04-14,350000
15795653,2022-01-20,"buy","house","freehold",3,"Chelmsford",495000,2022-02-08,475000
15804796,2022-01-21,"buy","house","freehold",3,"Plymouth",260000,2022-03-04,250000
15825092,2022-01-21,"buy","house","freehold",3,"Lincoln",160000,2022-02-16,150000
15827020,2022-01-22,"buy","flat","leasehold",1,"Barnet",3e+05,2022-03-15,290000
15860081,2022-01-26,"buy","house","freehold",3,"Newcastle Upon Tyne",189995,2022-03-30,182995
15889592,2022-01-28,"buy","house","freehold",4,"Uxbridge",699950,2022-04-26,675000
15920594,2022-02-01,"buy","flat","leasehold",2,"Reading",265000,2022-03-02,250000
15934187,2022-02-02,"buy","house","freehold",3,"Cardiff",535000,2022-03-03,499000
15944745,2022-02-03,"buy","house","freehold",3,"Chelmsford",450000,2022-06-15,420000
15948427,2022-02-03,"buy","flat","leasehold",2,"Leicester",190000,2022-07-27,165000
15970775,2022-02-05,"buy","house","freehold",5,"Mansfield",425000,2022-03-14,4e+05
14824846,2021-05-19,"buy","flat","unknown",2,"Newcastle Upon Tyne",210000,2021-07-08,2e+05
